User Input,Chatbot Response,Timestamp
hi,"I'm fine, thank you",2025-06-16 10:17:50
hello,"I'm fine, thank you",2025-06-16 10:18:00
psg,"A floor plan is a scaled diagram of a room or building viewed from above, showing the arrangement of spaces.",2025-06-16 10:18:04
hod of psg polytechnic college,"PSG Polytechnic College, established in 1939, is a premier institution in technical education and research, located in Peelamedu, Coimbatore, Tamil Nadu.  The acronym ‘PSG’ stands for ‘Peelamedu Samanaidu Govindasamy,’ honoring the founder’s father",2025-06-16 10:18:46
hod of dcn,"Common roofing materials include asphalt shingles, metal, tile, and slate.",2025-06-16 10:18:57
What are the hostel facilities at PSG College of Technology,"PSG College of Technology offers separate hostel facilities for both male and female students. The hostels are equipped with modern amenities such as Wi-Fi, common rooms, and mess facilities.",2025-06-16 10:20:23
hi,Hello,2025-06-16 10:28:27
hi,Hi there,2025-06-17 00:15:11
who is the principle of psg polytechnic college,"Dr B Giriraj Balasubramaniyam has been serving as the Principal of PSG Polytechnic College since 2014. He holds a Ph.D. from Anna University, Chennai, awarded in 2008, and has been associated with the Department of Mechanical Engineering at PSG Polytechnic College since 1997. Under his leadership, the college has continued its tradition of excellence in technical education",2025-06-17 00:15:35
what is equation,An equation is a mathematical statement that shows the equality of two expressions by using the '=' sign.,2025-06-17 00:16:09
ahskh3,"When planning to build a house, consider your budget, location, size, style, and future needs.",2025-06-17 00:16:12
ajdbfs,"A floor plan is a scaled diagram of a room or building viewed from above, showing the arrangement of spaces.",2025-06-17 00:16:12
vwbf,"A floor plan is a scaled diagram of a room or building viewed from above, showing the arrangement of spaces.",2025-06-17 00:16:13
dauivehj,"A floor plan is a scaled diagram of a room or building viewed from above, showing the arrangement of spaces.",2025-06-17 00:16:14
hued,"When planning to build a house, consider your budget, location, size, style, and future needs.",2025-06-17 00:16:15
hii,"When planning to build a house, consider your budget, location, size, style, and future needs.",2025-06-17 02:35:27
hi,Nothing much,2025-06-17 02:35:32
psg,"When planning to build a house, consider your budget, location, size, style, and future needs.",2025-06-17 02:35:39
who is the principle of psg polytechnic college,"Dr B Giriraj Balasubramaniyam has been serving as the Principal of PSG Polytechnic College since 2014. He holds a Ph.D. from Anna University, Chennai, awarded in 2008, and has been associated with the Department of Mechanical Engineering at PSG Polytechnic College since 1997. Under his leadership, the college has continued its tradition of excellence in technical education",2025-06-17 02:36:03
hi,Hello,2025-06-17 04:24:10
hi,Nothing much,2025-06-17 18:21:03
hello,"I'm fine, thank you",2025-06-17 18:21:07
hi,Hi there,2025-06-17 18:21:13
hello,Hi there,2025-06-17 18:21:17
